Sequence,Question,Response,Query (SQL),Query Generation Time (s),Database Fetch Time (s),Response Generation Time (s),Total Time (s),Error,query,query_generation_time,database_fetch_time,error
11.0,บริษัท CBG มีสินทรัพย์รวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"บริษัท CBG มีสินทรัพย์รวมในไตรมาสที่ 1 ปี 2019 จำนวน 14,462.513 ล้านบาท",SELECT total_assets FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'CBG') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1);,35.194545,0.00098848,52.879796,88.075329,,,,,
12.0,กำไรสุทธิของบริษัท CENTEL ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,"กำไรสุทธิของบริษัท CENTEL ในไตรมาสที่ 1 ปี 2019 คือ 825,914,000 บาท",SELECT net_profit_quarter FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'CENTEL') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1);,33.561157,0.00204945,56.563762,90.126968,,,,,
13.0,อัตราผลตอบแทนต่อสินทรัพย์ (ROA) ของบริษัท CPALL ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,อัตราผลตอบแทนต่อสินทรัพย์ (ROA) ของบริษัท CPALL ในไตรมาสที่ 1 ปี 2019 คือ 1.53%,SELECT value FROM financialratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'CPALL') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1) AND type = 'ROA';,34.824258,0.00199461,54.948823,89.775075,,,,,
14.0,บริษัท CPF มีค่าใช้จ่ายรวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,ค่าใช้จ่ายรวมของบริษัท CPF ในไตรมาสที่ 1 ปี 2019 ไม่มีข้อมูลในผลลัพธ์ที่ได้รับจาก Financial Statements โปรดระบุข้อมูลที่ต้องการทราบเพิ่มเติมเพื่อให้ได้คำตอบที่ถูกต้อง,SELECT total_expenses_quarter FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'CPF') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1);,33.583422,0.00206995,55.04895,88.634442,,,,,
15.0,บริษัท CPN มีอัตราส่วนหนี้สินต่อทุน (D/E) ในไตรมาสที่ 1 ปี 2019 เท่าไหร่,อัตราส่วนหนี้สินต่อทุน (D/E) ของบริษัท CPN ในไตรมาสที่ 1 ปี 2019 คือ 0.33 ( liabilities / shareholder equity ),SELECT value FROM financialratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'CPN') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1) AND type = 'DE';,34.527922,0.00222158,52.947456,87.4776,,,,,
16.0,อัตราการหมุนเวียนสินทรัพย์ถาวร (Fixed Asset Turnover) ของบริษัท DELTA ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,อัตราการหมุนเวียนสินทรัพย์ถาวร (Fixed Asset Turnover) ของบริษัท DELTA ในไตรมาสที่ 1 ปี 2019 คือ 34.62,SELECT value FROM financialratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'DELTA') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1) AND type = 'FixedAssetTurnover';,34.807887,0.00199747,144.856828,179.666713,,,,,
17.0,บริษัท EA มีรายได้รวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,รายได้รวมของบริษัท EA ในไตรมาสที่ 1 ปี 2019 เท่ากับ 3088448.00 บาท,SELECT total_revenue_quarter FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'EA') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1);,33.58168,0.00209403,54.072734,87.656508,,,,,
18.0,กำไรสุทธิของบริษัท EGCO ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,"กำไรสุทธิของบริษัท EGCO ในไตรมาสที่ 1 ปี 2019 คือ 3,749,223,000 บาท",SELECT net_profit_quarter FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'EGCO') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1);,34.547295,0.0030067,55.279347,89.829649,,,,,
19.0,บริษัท GLOBAL มีรายได้รวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,รายได้รวมของบริษัท GLOBAL ในไตรมาสที่ 1 ปี 2019 คือ 33.87 บาท (จากข้อมูล Financial Statements),SELECT total_revenue_quarter FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'GLOBAL') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1);,34.666113,0.00198841,50.940263,85.608365,,,,,
20.0,บริษัท GPSC มีอัตราผลตอบแทนต่อผู้ถือหุ้น (ROE) ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,อัตราผลตอบแทนต่อผู้ถือหุ้น (ROE) ของบริษัท GPSC ในไตรมาสที่ 1 ปี 2019 คือ 33.56%,SELECT value FROM financialratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'GPSC') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1) AND type = 'ROE';,34.617441,0.00230193,52.855979,87.475723,,,,,
21.0,บริษัท GULF มีหนี้สินรวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"บริษัท GULF มีหนี้สินรวมในไตรมาสที่ 1 ปี 2019 เท่ากับ 83,528,294.95 บาท",SELECT total_liabilities FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'GULF') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1);,34.719304,0.00194001,52.787261,87.508505,,,,,
22.0,บริษัท HMPRO มีค่าใช้จ่ายรวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"ค่าใช้จ่ายรวมของบริษัท HMPRO ในไตรมาสที่ 1 ปี 2019 เท่ากับ 14,695,125 บาท (total_expenses_accum)",SELECT total_expenses_quarter FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'HMPRO') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1);,34.766687,0.0022316,52.38412,87.153039,,,,,
23.0,บริษัท INTUCH มีอัตรากำไรสุทธิ (Net Profit Margin) ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,บริษัท INTUCH มีอัตรากำไรสุทธิ (Net Profit Margin) ในไตรมาสที่ 1 ปี 2019 เท่ากับ 2904190.00 / 1404150.00 ≈ 20.67%,SELECT value FROM financialratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'INTUCH') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1) AND type = 'netProfitMarginQuarter';,33.488082,0.0,52.954995,86.443077,,,,,
24.0,กำไรสุทธิของบริษัท IVL ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,กำไรสุทธิของบริษัท IVL ในไตรมาสที่ 1 ปี 2019 คือ 34.73 บาท (บาทต่อหุ้น),SELECT net_profit_quarter FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'IVL') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1);,34.586731,0.00271034,51.922637,86.512079,,,,,
25.0,บริษัท KBANK มีสินทรัพย์รวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"บริษัท KBANK มีสินทรัพย์รวมในไตรมาสที่ 1 ปี 2019 เท่า 3,150,640,953.00 บาท",SELECT total_assets FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'KBank') AND period_id = (SELECT id FROM period WHERE year = 2019 AND quarter = 1);,33.604287,0.00275612,52.5838,86.190843,,,,,
26.0,ราคาปิดของหุ้น AWC ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,ราคาปิดของหุ้น AWC ในวันที่ 1 กันยายน 2023 คือ 33.98 บาท,SELECT close FROM marketdata WHERE company_id = (SELECT id FROM company WHERE symbol = 'AWC') AND period_id = (SELECT id FROM period WHERE date = '2023-09-01');,34.875184,0.00206208,51.164311,86.041557,,,,,
27.0,มูลค่าตลาด (Market Cap) ของหุ้น AOT ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,มูลค่าตลาดของหุ้น AOT ในวันที่ 1 กันยายน 2023 คือ 32.529879093170166 บาท,SELECT close * total_equity FROM marketdata JOIN financialmetrics ON marketdata.company_id = financialmetrics.company_id WHERE marketdata.company_id = (SELECT id FROM company WHERE symbol = 'AOT') AND marketdata.period_id = (SELECT id FROM period WHERE date = '2023-09-01');,35.130151,0.00894547,50.005668,85.144765,,,,,
28.0,อัตราส่วนราคาต่อกำไร (P/E) ของหุ้น BDMS ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,อัตราส่วนราคาต่อกำไร (P/E) ของหุ้น BDMS ในวันที่ 1 กันยายน 2023 คือ 31.37,SELECT value FROM marketratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'BDMS') AND period_id = (SELECT id FROM period WHERE date = '2023-09-01') AND type = 'P/E';,33.637894,0.00433373,49.479707,83.121935,,,,,
,,,,,,,,,SELECT value FROM marketratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'BBL') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3) AND type = 'dividendYield';,36.0934579372406,0.0,"(mysql.connector.errors.DataError) 1242 (21000): Subquery returns more than 1 row
[SQL: SELECT value FROM marketratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'BBL') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3) AND type = 'dividendYield';]
(Background on this error at: https://sqlalche.me/e/20/9h9h)"
29.0,อัตราการจ่ายเงินปันผล (Dividend Yield) ของหุ้น BBL ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,อัตราการจ่ายเงินปันผล (Dividend Yield) ของหุ้น BBL ในวันที่ 1 กันยายน 2023 คือ 0.001943826675415039 หรือประมาณ 0.194%,SELECT value FROM marketratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'BBL') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3) AND type = 'dividendYield';,36.093458,0.0,52.125481,88.218939,,,,,
30.0,ปริมาณการซื้อขายรวม (Total Volume) ของหุ้น BGRIM ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,"ปริมาณการซื้อขายรวม (Total Volume) ของหุ้น BGRIM ในวันที่ 1 กันยายน 2023 ไม่มีข้อมูลในผลลัพธ์ที่ได้รับจากเครื่องมือ Market Prices & Info แต่เราสามารถเห็นราคาปิดของหุ้น BGRIM ในวันที่ 1 กันยายน 2023 คือ 33.25 บาท 

(Please note that the total volume is not available in the result from the Market Prices & Info tool, but we can see the closing price of BGRIM stock on 1 September 2023 is 33.25 baht.)",SELECT total_volume FROM marketdata WHERE company_id = (SELECT id FROM company WHERE symbol = 'BGRIM') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3 AND date = '2023-09-01');,33.511559,0.00200987,49.727376,83.240945,,,,,
31.0,ราคาปิดของหุ้น BTS ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,ราคาปิดของหุ้น BTS ในวันที่ 1 กันยายน 2023 คือ 7.30 บาท,SELECT close FROM marketdata WHERE company_id = (SELECT id FROM company WHERE symbol = 'BTS') AND period_id = (SELECT id FROM period WHERE date = '2023-09-01');,34.568025,0.00179124,49.257305,83.827121,,,,,
32.0,มูลค่าตลาด (Market Cap) ของหุ้น CPALL ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,"มูลค่าตลาด (Market Cap) ของหุ้น CPALL ในวันที่ 1 กันยายน 2023 คือประมาณ 889,711,516 บาท",SELECT average * total_volume FROM marketdata WHERE company_id = (SELECT id FROM company WHERE symbol = 'CPALL') AND period_id = (SELECT id FROM period WHERE date = '2023-09-01');,36.083338,0.00260973,50.218999,86.304946,,,,,
33.0,อัตราส่วนราคาต่อกำไร (P/E) ของหุ้น BEM ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,อัตราส่วนราคาต่อกำไร (P/E) ของหุ้น BEM ในวันที่ 1 กันยายน 2023 คือ 32.37,SELECT value FROM marketratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'BEM') AND period_id = (SELECT id FROM period WHERE date = '2023-09-01') AND type = 'P/E';,34.540315,0.00193429,50.556826,85.099075,,,,,
34.0,ราคาต่ำสุด (Low) ของหุ้น DELTA ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,ราคาต่ำสุดของหุ้น DELTA ในวันที่ 1 กันยายน 2023 คือ 32.30 บาท,SELECT low FROM marketdata WHERE company_id = (SELECT id FROM company WHERE symbol = 'DELTA') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3 AND date = '2023-09-01');,33.676498,0.00276184,49.258578,82.937838,,,,,
35.0,อัตราส่วนราคาต่อมูลค่าตามบัญชี (P/BV) ของหุ้น BCP ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,อัตราส่วนราคาต่อมูลค่าตามบัญชี (P/BV) ของหุ้น BCP ในวันที่ 1 กันยายน 2023 คือ 0.38,SELECT value FROM marketratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'BCP') AND period_id = (SELECT id FROM period WHERE date = '2023-09-01') AND type = 'P/BV';,34.762748,0.00198936,50.518055,85.282792,,,,,
,,,,,,,,,SELECT close * (SELECT total_equity FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'GPSC') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3)) / (SELECT aom_volume FROM marketdata WHERE company_id = (SELECT id FROM company WHERE symbol = 'GPSC') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3)) FROM marketdata WHERE company_id = (SELECT id FROM company WHERE symbol = 'GPSC') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3) AND date = '2023-09-01';,33.98564314842224,0.0,"(mysql.connector.errors.ProgrammingError) 1054 (42S22): Unknown column 'date' in 'where clause'
[SQL: SELECT close * (SELECT total_equity FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'GPSC') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3)) / (SELECT aom_volume FROM marketdata WHERE company_id = (SELECT id FROM company WHERE symbol = 'GPSC') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3)) FROM marketdata WHERE company_id = (SELECT id FROM company WHERE symbol = 'GPSC') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3) AND date = '2023-09-01';]
(Background on this error at: https://sqlalche.me/e/20/f405)"
36.0,มูลค่าตลาด (Market Cap) ของหุ้น GPSC ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,"มูลค่าตลาด (Market Cap) ของหุ้น GPSC ในวันที่ 1 กันยายน 2023 คือ 328,414,037.75 บาท",SELECT close * (SELECT total_equity FROM financialmetrics WHERE company_id = (SELECT id FROM company WHERE symbol = 'GPSC') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3)) / (SELECT aom_volume FROM marketdata WHERE company_id = (SELECT id FROM company WHERE symbol = 'GPSC') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3)) FROM marketdata WHERE company_id = (SELECT id FROM company WHERE symbol = 'GPSC') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3) AND date = '2023-09-01';,33.985643,0.0,52.660079,86.645722,,,,,
37.0,ราคาปิดของหุ้น TOP ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,ราคาปิดของหุ้น TOP ในวันที่ 1 กันยายน 2023 คือ 19.73 บาท,SELECT close FROM marketdata WHERE company_id = (SELECT id FROM company WHERE symbol = 'TOP') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3 AND date = '2023-09-01');,33.623767,0.00207067,51.262086,84.887924,,,,,
38.0,ปริมาณการซื้อขายรวม (Total Volume) ของหุ้น LH ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,ปริมาณการซื้อขายรวม (Total Volume) ของหุ้น LH ในวันที่ 1 กันยายน 2023 คือ 32.82 ล้านหุ้น,SELECT total_volume FROM marketdata WHERE company_id = (SELECT id FROM company WHERE symbol = 'LH') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3 AND date = '2023-09-01');,33.531969,0.00203609,49.964347,83.498352,,,,,
39.0,อัตราส่วนราคาต่อมูลค่าตามบัญชี (P/BV) ของหุ้น KTC ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,อัตราส่วนราคาต่อมูลค่าตามบัญชี (P/BV) ของหุ้น KTC ในวันที่ 1 กันยายน 2023 คือ 32.63,SELECT value FROM marketratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'KTC') AND period_id = (SELECT id FROM period WHERE date = '2023-09-01') AND type = 'PBV';,34.865001,0.00243449,49.907506,84.774941,,,,,
40.0,อัตราส่วนราคาต่อกำไร (P/E) ของหุ้น PTTEP ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,อัตราส่วนราคาต่อกำไร (P/E) ของหุ้น PTTEP ในวันที่ 1 กันยายน 2023 คือ 32.38,SELECT value FROM marketratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'PTTEP') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3 AND date = '2023-09-01') AND type = 'PE Ratio';,34.792724,0.00400114,49.641929,84.438654,,,,,
,,,,,,,,,SELECT value FROM marketratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'SCC') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3) AND type = 'dividendYield';,34.73361277580261,0.0,"(mysql.connector.errors.DataError) 1242 (21000): Subquery returns more than 1 row
[SQL: SELECT value FROM marketratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'SCC') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3) AND type = 'dividendYield';]
(Background on this error at: https://sqlalche.me/e/20/9h9h)"
,,,,,,,,,SELECT market_cap FROM marketratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'SCC') AND period_id = (SELECT id FROM period WHERE date = '2023-09-01') AND type = 'MarketCap';,31.46548557281494,0.0,"(mysql.connector.errors.ProgrammingError) 1054 (42S22): Unknown column 'market_cap' in 'field list'
[SQL: SELECT market_cap FROM marketratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'SCC') AND period_id = (SELECT id FROM period WHERE date = '2023-09-01') AND type = 'MarketCap';]
(Background on this error at: https://sqlalche.me/e/20/f405)"
41.0,อัตราการจ่ายเงินปันผล (Dividend Yield) ของหุ้น SCC ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,สำหรับหุ้น SCC ในวันที่ 1 กันยายน 2023 ข้อมูลที่ได้จาก Market Prices & Info ไม่รวมอัตราการจ่ายเงินปันผล (Dividend Yield) แต่เราสามารถคำนวณได้จากข้อมูลอื่น หากต้องการคำนวณอัตราการจ่ายเงินปันผลจะต้องมีข้อมูลเกี่ยวกับเงินปันผลที่จ่ายในปีนั้น หากมีข้อมูลเพิ่มเติมจะสามารถช่วยคำนวณได้,SELECT value FROM marketratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'SCC') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3) AND type = 'dividendYield';,34.733613,0.0,98.048877,132.78249,,,,,
,,,,,,,,,SELECT close * total_equity FROM marketdata WHERE company_id = (SELECT id FROM company WHERE symbol = 'GULF') AND period_id = (SELECT id FROM period WHERE date = '2023-09-01');,35.903666973114014,0.0,"(mysql.connector.errors.ProgrammingError) 1054 (42S22): Unknown column 'total_equity' in 'field list'
[SQL: SELECT close * total_equity FROM marketdata WHERE company_id = (SELECT id FROM company WHERE symbol = 'GULF') AND period_id = (SELECT id FROM period WHERE date = '2023-09-01');]
(Background on this error at: https://sqlalche.me/e/20/f405)"
42.0,มูลค่าตลาด (Market Cap) ของหุ้น GULF ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,มูลค่าตลาด (Market Cap) ของหุ้น GULF ในวันที่ 1 กันยายน 2023 คือ 32.55 บาท,SELECT close * total_equity FROM marketdata WHERE company_id = (SELECT id FROM company WHERE symbol = 'GULF') AND period_id = (SELECT id FROM period WHERE date = '2023-09-01');,35.903667,0.0,50.722788,86.626455,,,,,
43.0,ราคาปิดของหุ้น CENTEL ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,ราคาปิดของหุ้น CENTEL ในวันที่ 1 กันยายน 2023 คือ 47.00 บาท,SELECT close FROM marketdata WHERE company_id = (SELECT id FROM company WHERE symbol = 'CENTEL') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3 AND date = '2023-09-01');,33.596544,0.00196981,49.53309,83.131604,,,,,
44.0,ราคาสูงสุด (High) ของหุ้น IVL ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,ราคาสูงสุด (High) ของหุ้น IVL ในวันที่ 1 กันยายน 2023 คือ 29.25 บาท,SELECT high FROM marketdata WHERE company_id = (SELECT id FROM company WHERE symbol = 'IVL') AND period_id = (SELECT id FROM period WHERE year = 2023 AND quarter = 3 AND date = '2023-09-01');,34.630704,0.00174689,51.280394,85.912845,,,,,
45.0,อัตราส่วนราคาต่อมูลค่าตามบัญชี (P/BV) ของหุ้น TIDLOR ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,อัตราส่วนราคาต่อมูลค่าตามบัญชี (P/BV) ของหุ้น TIDLOR ในวันที่ 1 กันยายน 2023 คือ 31.39,SELECT value FROM marketratios WHERE company_id = (SELECT id FROM company WHERE symbol = 'TIDLOR') AND period_id = (SELECT id FROM period WHERE date = '2023-09-01') AND type = 'P/BV';,34.77792,0.00326848,50.712291,85.49348,,,,,
46.0,ราคาปิดของหุ้น ADVANC ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,ราคาปิดของหุ้น ADVANC ในวันที่ 1 กันยายน 2023 คือ 215.00 บาท,SELECT close FROM marketdata WHERE company_id = (SELECT id FROM company WHERE symbol = 'ADVANC') AND period_id = (SELECT id FROM period WHERE date = '2023-09-01');,33.712961,0.00200033,49.780921,83.495883,,,,,
