Sequence,Question,Response,Query (SQL),Query Generation Time (s),Database Fetch Time (s),Response Generation Time (s),Total Time (s),Error
11,บริษัท CBG มีสินทรัพย์รวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"บริษัท CBG มีสินทรัพย์รวมในไตรมาสที่ 1 ปี 2019 อยู่ที่ประมาณ 14,462.51 ล้านบาท","MATCH (c:Company {symbol: 'CBG'})-[:HAS_METRIC]->(m:Metric {type: 'TotalAssets', year: '2019', quarter: '1'}) RETURN m.value AS TotalAssets",26.066535,0.00694299,44.191023,70.264501,
12,กำไรสุทธิของบริษัท CENTEL ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,"กำไรสุทธิของบริษัท CENTEL ในไตรมาสที่ 1 ปี 2019 คือ 825,914 บาท","MATCH (c:Company {symbol: 'CENTEL'})-[:HAS_METRIC]->(m:Metric {type: 'NetProfitAccum', year: '2019', quarter: '1'})
RETURN m.value AS NetProfitAccum",12.204819,0.00299263,45.029484,57.237296,
13,อัตราผลตอบแทนต่อสินทรัพย์ (ROA) ของบริษัท CPALL ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,"อัตราผลตอบแทนต่อสินทรัพย์ (ROA) ของบริษัท CPALL ในไตรมาสที่ 1 ปี 2019 คือ 1.13%

Explanation: จากข้อมูลที่ได้รับมา เราสามารถคำนวณ ROA ได้โดยการนำ net profit มาหารด้วย total assets ซึ่งเราได้ข้อมูล net profit margin แล้ว เราสามารถคำนวณ net profit ได้โดยการนำ total revenue quarter มาหารด้วย net profit margin จากนั้นเราก็สามารถคำนวณ ROA ได้โดยการนำ net profit มาหารด้วย total assets ผลลัพธ์ที่ได้คือ 1.13%","MATCH (c:Company {symbol: 'CPALL'})-[:HAS_RATIO]->(r:Ratio {type: 'ROA', year: '2019', quarter: '1'}) RETURN r.value AS ROA",11.788343,0.00366831,117.384064,129.176076,
14,บริษัท CPF มีค่าใช้จ่ายรวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"ค่าใช้จ่ายรวมของบริษัท CPF ในไตรมาสที่ 1 ปี 2019 ไม่พบข้อมูล ค่าใช้จ่ายรวมไม่เท่ากับรายได้รวม บริษัท CPF มีรายได้รวมในไตรมาสที่ 1 ปี 2019 เท่ากับ 126,129,381 บาท 

(Note: The tool provided only the total revenue data, not the total expense data. Therefore, I couldn't find the total expense data for CPF in Q1 2019.)","MATCH (c:Company {symbol: 'CPF'})-[:HAS_METRIC]->(m:Metric {type: 'TotalExpensesQuarter', year: '2019', quarter: '1'}) RETURN m.value AS TotalExpensesQuarter",12.808865,0.00350642,24.213052,37.025424,
15,บริษัท CPN มีอัตราส่วนหนี้สินต่อทุน (D/E) ในไตรมาสที่ 1 ปี 2019 เท่าไหร่,Agent stopped due to iteration limit or time limit.,"MATCH (c:Company {symbol: 'CPN'})-[:HAS_RATIO]->(r:Ratio {type: 'DE', year: '2019', quarter: '1'}) RETURN r.value AS DE",12.71925,0.00298977,448.18099,460.90323,
16,อัตราการหมุนเวียนสินทรัพย์ถาวร (Fixed Asset Turnover) ของบริษัท DELTA ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,Agent stopped due to iteration limit or time limit.,"MATCH (c:Company {symbol: 'DELTA'})-[:HAS_RATIO]->(r:Ratio {type: 'FixedAssetTurnover', year: '2019', quarter: '1'})
RETURN r.value AS FixedAssetTurnover",12.829112,0.0,416.34713,429.176242,
17,บริษัท EA มีรายได้รวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,บริษัท EA มีรายได้รวมในไตรมาสที่ 1 ปี 2019 เท่ากับ 3088448.0 บาท,"MATCH (c:Company {symbol: 'EA'})-[:HAS_METRIC]->(m:Metric {type: 'TotalRevenueQuarter', year: '2019', quarter: '1'}) RETURN m.value AS TotalRevenueQuarter",11.722526,0.00301814,65.197215,76.922758,
18,กำไรสุทธิของบริษัท EGCO ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,"กำไรสุทธิของบริษัท EGCO ในไตรมาสที่ 1 ปี 2019 คือ 3,749,223 บาท","MATCH (c:Company {symbol: 'EGCO'})-[:HAS_METRIC]->(m:Metric {type: 'NetProfitQuarter', year: '2019', quarter: '1'}) RETURN m.value AS NetProfitQuarter",12.029608,0.00238323,45.476501,57.508493,
19,บริษัท GLOBAL มีรายได้รวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"บริษัท GLOBAL มีรายได้รวมในไตรมาสที่ 1 ปี 2019 เท่า 7,700,765 บาท","MATCH (c:Company {symbol: 'GLOBAL'})-[:HAS_METRIC]->(m:Metric {type: 'TotalRevenueQuarter', year: '2019', quarter: '1'}) RETURN m.value AS TotalRevenueQuarter",11.297462,0.00351644,32.735329,44.036307,
20,บริษัท GPSC มีอัตราผลตอบแทนต่อผู้ถือหุ้น (ROE) ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,อัตราผลตอบแทนต่อผู้ถือหุ้น (ROE) ของบริษัท GPSC ในไตรมาสที่ 1 ปี 2019 คือ (942175 / 63906435) x 100% ≈ 14.74%,"MATCH (c:Company {symbol: 'GPSC'})-[:HAS_RATIO]->(r:Ratio {type: 'ROE', year: '2019', quarter: '1'}) RETURN r.value AS ROE",12.508443,0.00401306,29.73569,42.248146,
21,บริษัท GULF มีหนี้สินรวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,Agent stopped due to iteration limit or time limit.,"MATCH (c:Company {symbol: 'GULF'})-[:HAS_METRIC]->(m:Metric {type: 'TotalLiabilities', year: '2019', quarter: '1'}) RETURN m.value AS TotalLiabilities",12.82617,0.00200057,412.684059,425.512229,
22,บริษัท HMPRO มีค่าใช้จ่ายรวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"บริษัท HMPRO มีค่าใช้จ่ายรวมในไตรมาสที่ 1 ปี 2019 เท่ากับ 14,695,125 บาท","MATCH (c:Company {symbol: 'HMPRO'})-[:HAS_METRIC]->(m:Metric {type: 'TotalExpensesQuarter', year: '2019', quarter: '1'}) RETURN m.value AS TotalExpensesQuarter",12.026268,0.00200009,45.051445,57.079714,
23,บริษัท INTUCH มีอัตรากำไรสุทธิ (Net Profit Margin) ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,Agent stopped due to iteration limit or time limit.,"MATCH (c:Company {symbol: 'INTUCH'})-[:HAS_RATIO]->(r:Ratio {type: 'NetProfitMarginQuarter', year: '2019', quarter: '1'}) RETURN r.value AS NetProfitMargin",11.947961,0.00337434,415.928354,427.87969,
24,กำไรสุทธิของบริษัท IVL ในไตรมาสที่ 1 ปี 2019 คือเท่าไหร่,"กำไรสุทธิของบริษัท IVL ในไตรมาสที่ 1 ปี 2019 คือ 3,707,724,000 บาท","MATCH (c:Company {symbol: 'IVL'})-[:HAS_METRIC]->(m:Metric {type: 'NetProfitQuarter', year: '2019', quarter: '1'}) RETURN m.value AS NetProfitQuarter",12.06008,0.0020709,29.874196,41.936347,
25,บริษัท KBANK มีสินทรัพย์รวมในไตรมาสที่ 1 ปี 2019 เท่าไหร่,"บริษัท KBANK มีสินทรัพย์รวมในไตรมาสที่ 1 ปี 2019 อยู่ที่ 3,150,640,953 บาท","MATCH (c:Company {symbol: 'KBANK'})-[:HAS_METRIC]->(m:Metric {type: 'TotalAssets', year: '2019', quarter: '1'}) RETURN m.value AS TotalAssets",12.993251,0.00290918,29.348587,42.344747,
26,ราคาปิดของหุ้น AWC ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,ขอโทษนะคะ แต่จากข้อมูลที่มีไม่สามารถระบุราคาปิดของหุ้น AWC ในวันที่ 1 กันยายน 2023 ได้ หากต้องการทราบราคาปิดของหุ้น AWC ควรตรวจสอบจากแหล่งข้อมูลอื่นๆ เช่น เว็บไซต์ของตลาดหลักทรัพย์ฯ หรือจากบริการข้อมูลทางการเงินอื่นๆ,MATCH (c:Company {symbol: 'AWC'})-[:HAS_MARKET_DATA]->(m:MarketData {date: '2023-09-01'}) RETURN m.close AS ClosePrice,12.762522,0.00311494,19.747094,32.512732,
27,มูลค่าตลาด (Market Cap) ของหุ้น AOT ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,ขอโทษค่ะ ในขณะนี้ระบบไม่สามารถให้ข้อมูลมูลค่าตลาดของหุ้น AOT ในวันที่ 1 กันยายน 2023 ได้ หากต้องการทราบมูลค่าตลาดของหุ้น AOT กรุณาตรวจสอบจากแหล่งข้อมูลอื่นหรือติดต่อตลาดหลักทรัพย์แห่งประเทศไทย (SET) โดยตรง,"MATCH (c:Company {symbol: 'AOT'})-[:HAS_RATIO]->(r:Ratio {type: 'MarketCap', year: '2023', quarter: '3', date: '2023-09-01'}) RETURN r.value AS MarketCap",11.772253,0.00299072,50.281222,62.056466,
28,อัตราส่วนราคาต่อกำไร (P/E) ของหุ้น BDMS ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,ขออภัย ไม่สามารถดึงข้อมูล P/E ของหุ้น BDMS ในวันที่ 1 กันยายน 2023 ได้ เนื่องจากปัญหาทางเทคนิคของเครื่องมือ หากต้องการดึงข้อมูลอื่น โปรดแจ้งให้ทราบ,"MATCH (c:Company {symbol: 'BDMS'})-[:HAS_RATIO]->(r:Ratio {type: 'PE', year: '2023', quarter: '3'})
RETURN r.value AS PE",12.035121,0.00300741,39.366703,51.404831,
29,อัตราการจ่ายเงินปันผล (Dividend Yield) ของหุ้น BBL ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,ขอโทษคุณ แต่ไม่สามารถหาข้อมูลอัตราการจ่ายเงินปันผล (Dividend Yield) ของหุ้น BBL ในวันที่ 1 กันยายน 2023 จากเครื่องมือ Market Prices & Info ได้ เนื่องจากข้อมูลที่ได้รับไม่เพียงพอ โปรดตรวจสอบข้อมูลอีกครั้ง,"MATCH (c:Company {symbol: 'BBL'})-[:HAS_RATIO]->(r:Ratio {type: 'DividendYield', year: '2023', quarter: '3'})
RETURN r.value AS DividendYield",11.72292,0.00251007,60.104633,71.830063,
30,ปริมาณการซื้อขายรวม (Total Volume) ของหุ้น BGRIM ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
31,ราคาปิดของหุ้น BTS ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
32,มูลค่าตลาด (Market Cap) ของหุ้น CPALL ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
33,อัตราส่วนราคาต่อกำไร (P/E) ของหุ้น BEM ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
34,ราคาต่ำสุด (Low) ของหุ้น DELTA ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
35,อัตราส่วนราคาต่อมูลค่าตามบัญชี (P/BV) ของหุ้น BCP ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
36,มูลค่าตลาด (Market Cap) ของหุ้น GPSC ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
37,ราคาปิดของหุ้น TOP ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
38,ปริมาณการซื้อขายรวม (Total Volume) ของหุ้น LH ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
39,อัตราส่วนราคาต่อมูลค่าตามบัญชี (P/BV) ของหุ้น KTC ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
40,อัตราส่วนราคาต่อกำไร (P/E) ของหุ้น PTTEP ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
41,อัตราการจ่ายเงินปันผล (Dividend Yield) ของหุ้น SCC ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
42,มูลค่าตลาด (Market Cap) ของหุ้น GULF ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
43,ราคาปิดของหุ้น CENTEL ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
44,ราคาสูงสุด (High) ของหุ้น IVL ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
45,อัตราส่วนราคาต่อมูลค่าตามบัญชี (P/BV) ของหุ้น TIDLOR ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
46,ราคาปิดของหุ้น ADVANC ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
47,มูลค่าตลาด (Market Cap) ของหุ้น CBG ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
48,ปริมาณการซื้อขายรวม (Total Volume) ของหุ้น AOT ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
49,อัตราส่วนราคาต่อกำไร (P/E) ของหุ้น CRC ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
50,ราคาปิดของหุ้น PTT ในวันที่ 1 กันยายน 2023 คือเท่าไหร่,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
51,เปรียบเทียบสินทรัพย์รวมของบริษัท ADVANC กับบริษัท AOT ในปี 2019,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
52,เปรียบเทียบหนี้สินรวมของบริษัท ADVANC กับบริษัท BBL ในปี 2019,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
53,เปรียบเทียบรายได้รวมในไตรมาสของบริษัท ADVANC กับบริษัท CPALL ในไตรมาสที่ 3 ปี 2021,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
54,เปรียบเทียบค่าใช้จ่ายรวมในไตรมาสของบริษัท ADVANC กับบริษัท AOT ในไตรมาสที่ 2 ปี 2020,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
55,เปรียบเทียบกำไรสุทธิสะสมของบริษัท ADVANC ในปี 2020 กับปี 2021,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
56,เปรียบเทียบกระแสเงินสดจากการดำเนินงานของบริษัท ADVANC กับ BBL ในไตรมาสที่ 1 ปี 2021,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
57,เปรียบเทียบผลตอบแทนต่อสินทรัพย์ (ROA) ของบริษัท ADVANC กับ AOT ในปี 2021,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
58,เปรียบเทียบผลตอบแทนต่อผู้ถือหุ้น (ROE) ของบริษัท ADVANC ในปี 2019 กับปี 2022,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
59,เปรียบเทียบราคาปิดของหุ้น ADVANC ในวันที่ 1 กันยายน 2023 กับวันที่ 4 กันยายน 2023,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
60,เปรียบเทียบอัตราส่วน PE ของหุ้น ADVANC กับหุ้น CPALL ในวันที่ 1 กันยายน 2023,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
61,เปรียบเทียบมูลค่าตลาดของบริษัท ADVANC กับ AOT ในวันที่ 1 กันยายน 2023,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
62,เปรียบเทียบสินทรัพย์รวมของบริษัท BBL กับบริษัท AOT ในปี 2020,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
63,เปรียบเทียบกระแสเงินสดจากการลงทุนของบริษัท ADVANC ในไตรมาสที่ 3 ปี 2021 กับไตรมาสที่ 4 ปี 2021,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
64,เปรียบเทียบกำไรต่อหุ้น (EPS) ของบริษัท ADVANC กับ BBL ในไตรมาสที่ 1 ปี 2020,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
65,เปรียบเทียบอัตราหนี้สินต่อทุน (DE) ของบริษัท ADVANC กับ CPALL ในปี 2020,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
66,เปรียบเทียบอัตราการหมุนเวียนสินทรัพย์รวมของบริษัท ADVANC ในปี 2021 กับปี 2022,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
67,เปรียบเทียบอัตราการหมุนเวียนของสินทรัพย์ถาวรของบริษัท ADVANC กับ BBL ในปี 2020,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
68,เปรียบเทียบกำไรสุทธิในไตรมาสของบริษัท ADVANC กับ AOT ในไตรมาสที่ 4 ปี 2021,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
69,เปรียบเทียบปริมาณการซื้อขายของหุ้น ADVANC กับหุ้น BBL ในวันที่ 4 กันยายน 2023,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
70,เปรียบเทียบราคาสูงสุดของหุ้น ADVANC กับหุ้น CPALL ในวันที่ 1 กันยายน 2023,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
71,เปรียบเทียบการหมุนเวียนสินทรัพย์รวมของบริษัท ADVANC ในไตรมาสที่ 2 ปี 2021 กับไตรมาสที่ 4 ปี 2021,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
72,เปรียบเทียบราคาต่ำสุดของหุ้น AOT กับหุ้น BBL ในวันที่ 1 กันยายน 2023,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
73,เปรียบเทียบราคาปิดของหุ้น AOT กับหุ้น CPALL ในวันที่ 4 กันยายน 2023,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
74,เปรียบเทียบมูลค่าตลาดของบริษัท CPALL กับ ADVANC ในวันที่ 4 กันยายน 2023,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
75,เปรียบเทียบการหมุนเวียนของสินทรัพย์ถาวรของบริษัท CPALL กับ AOT ในปี 2021,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
76,แนวโน้มของรายได้รวมของบริษัท ADVANC เปลี่ยนแปลงอย่างไรระหว่างปี 2019-2021,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
77,สินทรัพย์รวมของ AOT มีการเปลี่ยนแปลงอย่างไรระหว่างปี 2019-2021,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
78,การเปลี่ยนแปลงของกำไรสุทธิสะสมของบริษัท BBL ในช่วงปี 2019-2021 เป็นอย่างไร,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
79,แนวโน้มของ EPS ของบริษัท BDMS เปลี่ยนแปลงไปอย่างไรในแต่ละไตรมาสของปี 2019,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
80,แนวโน้มของกระแสเงินสดจากการดำเนินงานของ BGRIM ระหว่างปี 2019-2021 เป็นอย่างไร,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
81,กำไรต่อหุ้น (EPS) ของบริษัท BH มีการเติบโตอย่างไรในปี 2019,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
82,ค่าใช้จ่ายรวมของบริษัท BCP มีการเปลี่ยนแปลงอย่างไรในแต่ละไตรมาสของปี 2019,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
83,แนวโน้มของการหมุนเวียนของสินทรัพย์รวมของบริษัท BTS ในแต่ละไตรมาสเป็นอย่างไร,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
84,การเปลี่ยนแปลงของกำไรสุทธิสะสมของบริษัท CPN ระหว่างปี 2019-2021 เป็นอย่างไร,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
85,แนวโน้มของรายได้รวมของบริษัท EA ในปี 2019-2021 เป็นอย่างไร,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
86,อัตราส่วนหนี้สินต่อทุน (DE) ของ ADVANC มีการเปลี่ยนแปลงอย่างไรในแต่ละไตรมาสของปี 2019,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
87,อัตราส่วน ROE ของบริษัท BDMS ส่งผลต่อความสามารถในการทำกำไรอย่างไร,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
88,อัตราการหมุนเวียนของสินทรัพย์รวมของบริษัท BTS ส่งผลต่อการทำกำไรอย่างไรในปี 2019,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
89,ผลตอบแทนต่อสินทรัพย์ (ROA) ของ BCP มีการเปลี่ยนแปลงอย่างไรในปี 2019,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
90,การเปลี่ยนแปลงของอัตราส่วน PE ของ ADVANC ในปี 2019 ส่งผลต่อมูลค่าตลาดอย่างไร,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
91,อัตราส่วน DE ของ AOT มีผลต่อความเสี่ยงทางการเงินอย่างไรในช่วงปี 2019-2021,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
92,การเปลี่ยนแปลงของ ROA ของ BBL ในแต่ละไตรมาสของปี 2019 มีผลต่อประสิทธิภาพการใช้สินทรัพย์อย่างไร,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
93,อัตราส่วนหนี้สินต่อทุน (DE) ของบริษัท CPF ส่งผลต่อความเสี่ยงทางการเงินอย่างไร,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
94,อัตราผลตอบแทนผู้ถือหุ้น (ROE) ของ BDMS เปลี่ยนแปลงอย่างไรในปี 2019-2021,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
95,อัตราส่วน ROE ของ BTS ส่งผลต่อการตัดสินใจของผู้ถือหุ้นอย่างไรในปี 2019,Error occurred,,0.0,0.0,0.0,0.0,type NoneType doesn't define __round__ method
